Experiment Description, Copy lenth (Bytes), Copy Type, Throughput (Gbps), Number of Runs
App writes to host-heap, 16, glibc_memcpy, 0.379, 5
App writes to host-heap, 16, naive_memcpy, 0.584, 5
App writes to host-heap, 16,  apex_memcpy, 0.137, 5
App writes to host-heap, 256, glibc_memcpy, 5.224, 5
App writes to host-heap, 256, naive_memcpy, 6.632, 5
App writes to host-heap, 256,  apex_memcpy, 6.244, 5
App writes to host-heap, 1024, glibc_memcpy, 14.066, 5
App writes to host-heap, 1024, naive_memcpy, 18.963, 5
App writes to host-heap, 1024,  apex_memcpy, 20.480, 5
App writes to host-heap, 4096, glibc_memcpy, 7.346, 5
App writes to host-heap, 4096, naive_memcpy, 29.854, 5
App writes to host-heap, 4096,  apex_memcpy, 28.444, 5
App writes to host-heap, 65536, glibc_memcpy, 6.433, 5
App writes to host-heap, 65536, naive_memcpy, 23.102, 5
App writes to host-heap, 65536,  apex_memcpy, 11.290, 5
App writes to host-heap, 524288, glibc_memcpy, 6.708, 5
App writes to host-heap, 524288, naive_memcpy, 16.987, 5
App writes to host-heap, 524288,  apex_memcpy, 4.653, 5
App reads from host-heap, 16, glibc_memcpy, 0.544, 5
App reads from host-heap, 16, naive_memcpy, 0.106, 5
App reads from host-heap, 16,  apex_memcpy, 0.096, 5
App reads from host-heap, 256, glibc_memcpy, 2.902, 5
App reads from host-heap, 256, naive_memcpy, 9.143, 5
App reads from host-heap, 256,  apex_memcpy, 3.208, 5
App reads from host-heap, 1024, glibc_memcpy, 5.482, 5
App reads from host-heap, 1024, naive_memcpy, 20.645, 5
App reads from host-heap, 1024,  apex_memcpy, 22.555, 5
App reads from host-heap, 4096, glibc_memcpy, 12.541, 5
App reads from host-heap, 4096, naive_memcpy, 32.000, 5
App reads from host-heap, 4096,  apex_memcpy, 29.638, 5
App reads from host-heap, 65536, glibc_memcpy, 13.265, 5
App reads from host-heap, 65536, naive_memcpy, 19.275, 5
App reads from host-heap, 65536,  apex_memcpy, 11.085, 5
App reads from host-heap, 524288, glibc_memcpy, 13.412, 5
App reads from host-heap, 524288, naive_memcpy, 19.197, 5
App reads from host-heap, 524288,  apex_memcpy, 4.635, 5
App writes to host-mmap, 16, glibc_memcpy, 0.237, 5
App writes to host-mmap, 16, naive_memcpy, 0.721, 5
App writes to host-mmap, 16,  apex_memcpy, 0.319, 5
App writes to host-mmap, 256, glibc_memcpy, 7.574, 5
App writes to host-mmap, 256, naive_memcpy, 0.190, 5
App writes to host-mmap, 256,  apex_memcpy, 0.180, 5
App writes to host-mmap, 1024, glibc_memcpy, 0.206, 5
App writes to host-mmap, 1024, naive_memcpy, 0.094, 5
App writes to host-mmap, 1024,  apex_memcpy, 0.095, 5
App writes to host-mmap, 4096, glibc_memcpy, 0.172, 5
App writes to host-mmap, 4096, naive_memcpy, 0.085, 5
App writes to host-mmap, 4096,  apex_memcpy, 0.086, 5
App writes to host-mmap, 65536, glibc_memcpy, 0.005, 5
App writes to host-mmap, 65536, naive_memcpy, 0.082, 5
App writes to host-mmap, 65536,  apex_memcpy, 0.083, 5
App writes to host-mmap, 524288, glibc_memcpy, 0.005, 5
App writes to host-mmap, 524288, naive_memcpy, 0.082, 5
App writes to host-mmap, 524288,  apex_memcpy, 0.082, 5
App reads from host-mmap, 16, glibc_memcpy, 0.088, 5
App reads from host-mmap, 16, naive_memcpy, 0.085, 5
App reads from host-mmap, 16,  apex_memcpy, 0.149, 5
App reads from host-mmap, 256, glibc_memcpy, 0.357, 5
App reads from host-mmap, 256, naive_memcpy, 0.163, 5
App reads from host-mmap, 256,  apex_memcpy, 0.168, 5
App reads from host-mmap, 1024, glibc_memcpy, 0.207, 5
App reads from host-mmap, 1024, naive_memcpy, 0.157, 5
App reads from host-mmap, 1024,  apex_memcpy, 0.163, 5
App reads from host-mmap, 4096, glibc_memcpy, 0.208, 5
App reads from host-mmap, 4096, naive_memcpy, 0.163, 5
App reads from host-mmap, 4096,  apex_memcpy, 0.160, 5
App reads from host-mmap, 65536, glibc_memcpy, 0.011, 5
App reads from host-mmap, 65536, naive_memcpy, 0.162, 5
App reads from host-mmap, 65536,  apex_memcpy, 0.165, 5
App reads from host-mmap, 524288, glibc_memcpy, 0.011, 5
App reads from host-mmap, 524288, naive_memcpy, 0.162, 5
App reads from host-mmap, 524288,  apex_memcpy, 0.106, 5
App writes to escape-mmap, 16, glibc_memcpy, 0.213, 5
App writes to escape-mmap, 16, naive_memcpy, 0.620, 5
App writes to escape-mmap, 16,  apex_memcpy, 0.398, 5
App writes to escape-mmap, 256, glibc_memcpy, 7.399, 5
App writes to escape-mmap, 256, naive_memcpy, 0.104, 5
App writes to escape-mmap, 256,  apex_memcpy, 0.098, 5
App writes to escape-mmap, 1024, glibc_memcpy, 0.116, 5
App writes to escape-mmap, 1024, naive_memcpy, 0.051, 5
App writes to escape-mmap, 1024,  apex_memcpy, 0.051, 5
App writes to escape-mmap, 4096, glibc_memcpy, 0.093, 5
App writes to escape-mmap, 4096, naive_memcpy, 0.045, 5
App writes to escape-mmap, 4096,  apex_memcpy, 0.045, 5
App writes to escape-mmap, 65536, glibc_memcpy, 0.003, 5
App writes to escape-mmap, 65536, naive_memcpy, 0.044, 5
App writes to escape-mmap, 65536,  apex_memcpy, 0.043, 5
App writes to escape-mmap, 524288, glibc_memcpy, 0.003, 5
App writes to escape-mmap, 524288, naive_memcpy, 0.043, 5
App writes to escape-mmap, 524288,  apex_memcpy, 0.043, 5
App reads from escape-mmap, 16, glibc_memcpy, 0.018, 5
App reads from escape-mmap, 16, naive_memcpy, 0.018, 5
App reads from escape-mmap, 16,  apex_memcpy, 0.035, 5
App reads from escape-mmap, 256, glibc_memcpy, 0.069, 5
App reads from escape-mmap, 256, naive_memcpy, 0.035, 5
App reads from escape-mmap, 256,  apex_memcpy, 0.035, 5
App reads from escape-mmap, 1024, glibc_memcpy, 0.049, 5
App reads from escape-mmap, 1024, naive_memcpy, 0.035, 5
App reads from escape-mmap, 1024,  apex_memcpy, 0.035, 5
App reads from escape-mmap, 4096, glibc_memcpy, 0.048, 5
App reads from escape-mmap, 4096, naive_memcpy, 0.035, 5
App reads from escape-mmap, 4096,  apex_memcpy, 0.035, 5
App reads from escape-mmap, 65536, glibc_memcpy, 0.002, 5
App reads from escape-mmap, 65536, naive_memcpy, 0.035, 5
App reads from escape-mmap, 65536,  apex_memcpy, 0.035, 5
App reads from escape-mmap, 524288, glibc_memcpy, 0.002, 5
App reads from escape-mmap, 524288, naive_memcpy, 0.035, 5
App reads from escape-mmap, 524288,  apex_memcpy, 0.033, 5
